q,c
0.411,22.4875049433909
0.447,128.8030137800015
0.413,24.719823687258703
0.336,48.109086690316026
0.342,50.26919798949613
0.957,6.931373366387588
0.353,35.89273616634154
0.3,53.58095606798134
0.457,25.89034331558719
0.474,25.067347507898987
0.402,26.906492940985512
0.315,46.987081309397695
0.37,26.375339227039685
0.383,36.72579976356475
0.377,35.17808900076099
0.253,77.90105426609642
0.291,58.42562173233253
0.294,55.36532199154743
0.135,228.9240516205414
0.611,9.876363770277806
1.691,2.2136898616309955
1.227,4.004884913706089
0.817,6.827771461583408
0.553,11.304091131011905
